"transportType","2018-01-01","2018-01-02","2018-01-03","2018-01-04","2018-01-05","2018-01-06","2018-01-07","2018-01-08","2018-01-09","2018-01-10","2018-01-11","2018-01-12","2018-01-13","2018-01-14","2018-01-15","2018-01-16","2018-01-17","2018-01-18","2018-01-19","2018-01-20","2018-01-21","2018-01-22","2018-01-23","2018-01-24","2018-01-25","2018-01-26","2018-01-27","2018-01-28","2018-01-29","2018-01-30","2018-01-31","2018-02-01","2018-02-02","2018-02-03","2018-02-04","2018-02-05","2018-02-06","2018-02-07","2018-02-08","2018-02-09","2018-02-10","2018-02-11","2018-02-12","2018-02-13","2018-02-14","2018-02-15","2018-02-16","2018-02-17","2018-02-18","2018-02-19","2018-02-20","2018-02-21","2018-02-22","2018-02-23","2018-02-24","2018-02-25","2018-02-26","2018-02-27","2018-02-28","2018-03-01","2018-03-02","2018-03-03","2018-03-04","2018-03-05","2018-03-06","2018-03-07","2018-03-08","2018-03-09","2018-03-10","2018-03-11","2018-03-12","2018-03-13","2018-03-14","2018-03-15","2018-03-16","2018-03-17","2018-03-18","2018-03-19","2018-03-20","2018-03-21","2018-03-22","2018-03-23","2018-03-24","2018-03-25","2018-03-26","2018-03-27","2018-03-28","2018-03-29","2018-03-30","2018-03-31","2018-04-01","2018-04-02","2018-04-03","2018-04-04","2018-04-05","2018-04-06","2018-04-07","2018-04-08","2018-04-09","2018-04-10","2018-04-11","2018-04-12","2018-04-13","2018-04-14","2018-04-15","2018-04-16","2018-04-17","2018-04-18","2018-04-19","2018-04-20","2018-04-21","2018-04-22","2018-04-23","2018-04-24","2018-04-25","2018-04-26","2018-04-27","2018-04-28","2018-04-29","2018-04-30","2018-05-01","2018-05-02","2018-05-03","2018-05-04","2018-05-05","2018-05-06","2018-05-07","2018-05-08","2018-05-09","2018-05-10","2018-05-11","2018-05-12","2018-05-13","2018-05-14","2018-05-15","2018-05-16","2018-05-17","2018-05-18","2018-05-19","2018-05-20","2018-05-21","2018-05-22","2018-05-23","2018-05-24","2018-05-25","2018-05-26","2018-05-27","2018-05-28","2018-05-29","2018-05-30","2018-05-31","2018-06-01","2018-06-02","2018-06-03","2018-06-04","2018-06-05","2018-06-06","2018-06-07","2018-06-08","2018-06-09","2018-06-10","2018-06-11","2018-06-12","2018-06-13","2018-06-14","2018-06-15","2018-06-16","2018-06-17","2018-06-18","2018-06-19","2018-06-20","2018-06-21","2018-06-22","2018-06-23","2018-06-24","2018-06-25","2018-06-26","2018-06-27","2018-06-28","2018-06-29","2018-06-30"
"FHV",701932,547158,583436,354451,699753,793669,676681,595390,583267,591052,612817,716956,761410,719580,565472,592789,627873,658000,708046,717557,617388,552075,586249,614084,672124,738489,749022,649079,565213,608464,640538,649460,786819,810071,751196,614590,612571,717000,692751,758104,836649,709140,599939,639874,691461,678110,732810,805404,673353,569086,565060,605486,704800,755917,802508,707915,596860,616018,643612,719438,875723,792836,716263,633218,655452,631928,720608,775323,823519,687802,636584,669176,701513,737888,783607,828884,700826,618220,677685,508268,714725,752966,788342,704329,620395,643542,668015,709599,729691,748177,626934,567850,619745,616003,660854,707066,757627,708105,634597,647496,668086,697786,760910,853489,766439,691121,662987,670809,750576,792125,823443,707662,615955,640618,717274,704598,788698,829774,727668,658103,630607,670601,738386,757460,830934,684919,611360,631845,661470,726786,748143,836225,734883,620566,691139,742678,732511,755594,860686,680900,596366,668983,662660,696677,719961,728516,653140,539207,613762,650512,728512,777137,831143,723542,613582,591456,639174,677944,717348,770941,678901,617379,630654,690457,722195,720144,772541,682964,656843,672359,693247,732297,766875,783959,693716,632496,636799,662921,738050,745184,817369
"Yellow",237118,238152,266992,122222,265212,281260,237393,259792,284662,290362,304982,317639,321879,290953,246888,295727,305009,330715,325598,294520,252191,261653,287525,315567,331893,335361,309969,259807,266607,302841,319043,321043,349367,316598,265824,286197,303040,315745,338939,337384,322013,261619,287888,317895,321593,322857,322030,305440,253403,241819,268383,297486,328851,328744,312893,269527,278570,301618,314604,332802,326944,316823,286326,290631,315726,233278,326640,348424,342083,278455,293843,306557,336119,348198,349840,325099,278789,271630,313025,183629,300702,325852,310630,275756,280093,298685,314051,325600,307559,285252,244394,258930,305554,310941,332195,326443,321219,279660,285025,308094,320829,327104,333091,347332,300236,281191,321839,320981,348981,347009,319168,277623,285483,309584,325631,331170,332721,324822,281427,296350,305388,321940,334832,333124,333746,280027,284376,309713,316850,328291,324657,321304,281192,294041,309021,320011,327502,331926,317784,267278,278706,297516,300095,305096,279799,236359,203496,187561,275451,301164,315499,320529,308393,265244,279353,298140,315354,319315,315660,293934,249740,278488,295377,312651,316168,281883,275862,247840,281485,298528,307880,309069,311362,273667,243786,267868,287191,297916,302796,285426,272402
